sender,receiver,value
GUILHERME,TIAGO,40508
RONALDO,SEVERINO,89707
LUIZ,RAQUEL,21767
DAVI,EMERSON,15230
DANILO,CAROLINA,67224
VITOR,MARCIA,25799
MATEUS,MARLENE,97407
GUSTAVO,ANDREIA,14958
RICARDO,BENEDITO,71256
AMANDA,CARLOS,16665
VINICIUS,ANGELA,89938
JEAN,ISABEL,48047
RAIMUNDO,ANDRE,77343
CELIA,DENISE,27225
FABIANO,LUAN,36685
DANILO,ANTONIO,21593
FELIPE,EVERTON,40880
GABRIELA,JANAINA,51543
DAVI,CLAUDIA,27797
SONIA,ANDREIA,51008
MARIA,ALINE,98332
SUELI,RICARDO,56874
DANIELA,ADRIANA,46385
VITORIA,ANDREIA,5639
CAROLINE,VINICIUS,91798
LUCIA,JEFERSON,93162
ISABEL,NELSON,91130
ISABELA,MARLENE,73223
JULIANA,ROSA,63707
AMANDA,ALAN,54445
SILVANA,MARIANA,68789
CARLA,FELIPE,57979
JOAO,MAURO,90607
DANIEL,LUAN,84801
ROBERTO,VALDIR,58632
FELIPE,DENISE,85685
ROSANGELA,SUELI,53795
ALAN,MATHEUS,22046
DANILO,EVERTON,47354
LUIS,WESLEY,12701
JANAINA,ROSA,80830
CARLA,DEBORA,76166
ALESSANDRO,REGINA,28933
JEFERSON,CRISTIANO,39333
DAVID,MIGUEL,57758
MAURO,PAULO,57441
PATRICIA,HENRIQUE,64664
RODRIGO,NATALIA,53760
TIAGO,JOAQUIM,78343
DIOGO,TAIS,2181
MATEUS,TAIS,3282
LAURA,VICTOR,30518
ROBSON,HELENA,24472
WESLEY,BRUNA,26681
ANTONIA,MATEUS,44794
MARINA,VALDIR,7972
VICTOR,LUCAS,73983
FATIMA,MARINA,43375
FABIANO,JOAO,56846
MARCELO,ANTONIA,69455
JAQUELINE,NATALIA,64423
JULIO,EVERTON,29147
LUANA,ROSANGELA,87979
DIOGO,ADILSON,61702
ROBSON,CARLOS,51884
DANILO,MONICA,16450
ELAINE,DAIANE,46843
ANTONIO,MANOEL,24292
LUZIA,CARLA,72862
LUCIA,VERA,14134
ALICE,GILSON,76090
JOSE,BRUNA,82263
SIMONE,REGINALDO,60296
MARTA,LUCIANA,77804
MAURICIO,GILMAR,2230
NATALIA,SABRINA,46780
ELIANA,MAURO,39934
RENAN,FERNANDA,77013
FELIPE,PAULA,16164
JORGE,ROBSON,78165
MARCELO,WILSON,16161
FABIANA,LUAN,86219
DANIELA,DENISE,28723
RAIMUNDO,SAMUEL,24816
LUCIANA,BARBARA,77102
ALEXANDRE,ALESSANDRO,24369
GABRIEL,MARCIA,65133
RONALDO,RENATO,84049
CLAUDIA,VIVIANE,43283
RITA,VERA,54705
NELSON,MARCELO,87577
ISABEL,SILVIA,65555
ALICE,ROSANGELA,88341
RAQUEL,ANDRESSA,19990
EDNA,SEBASTIAO,8991
ROSA,VALERIA,68252
LEANDRO,JESSICA,69316
ELIANE,LETICIA,42363
MARCO,VALDIR,52614
APARECIDA,SEBASTIAO,18589
ANA,TATIANE,10715
FELIPE,VANESSA,54313
WILLIAN,CELIA,1626
SOLANGE,BENEDITO,28516
APARECIDA,REGINA,70559
IGOR,MARCIO,6802
SERGIO,ROSANA,83580
RENAN,RAIMUNDA,26987
SERGIO,LETICIA,93337
FERNANDO,MARCIO,20137
SAMUEL,BEATRIZ,62082
NELSON,JULIA,99805
CICERO,CARLA,36688
DEBORA,EDNA,85379
ELIANA,NATALIA,9109
GILSON,LEONARDO,12716
BENEDITO,MANOEL,9682
EMERSON,BENEDITO,31659
JONAS,CARLOS,9471
MIGUEL,GILSON,78251
DANIELA,LUANA,63563
SANDRA,JULIANA,60768
LUCIANO,MATHEUS,18876
RAQUEL,JOAO,94611
CAROLINE,CARLA,59692
DAIANE,CARLA,43353
PAULA,ANDREIA,41455
JOSE,JAIR,7494
RENATO,RONALDO,59311
ROSANA,ANDREA,86695
JOSEFA,RAFAELA,13666
RONALDO,SANDRA,86932
SILVANA,GUILHERME,98086
LUIS,TEREZA,91145
JORGE,ISABEL,66455
ROSANA,LUANA,23240
FABIO,VANESSA,13834
CELIA,ADILSON,73161
FABRICIO,VALERIA,55602
DIOGO,CAROLINE,49920
TAIS,RICARDO,6218
TEREZA,JOAQUIM,82874
SEVERINO,LUIZA,8091
JULIANA,LUIS,33066
ALEX,JULIO,84493
MAURO,WILSON,49101
ELIAS,LUIZ,99664
ERICA,ROGERIO,24046
ELAINE,FLAVIA,94774
BARBARA,JAQUELINE,5967
VITOR,LAURA,30905
ALEX,CAIO,7072
BEATRIZ,RICARDO,85236
ANDRE,VINICIUS,83440
JORGE,ANGELA,77198
FATIMA,RONALDO,21617
LEONARDO,EDNA,42365
JULIO,ROBERTO,88017
VIVIANE,CRISTIANO,22630
THAIS,ADRIANA,25604
BIANCA,DAVID,61653
DOUGLAS,APARECIDA,92202
LEONARDO,ROBSON,69328
JOAQUIM,CAROLINE,9841
MAURICIO,JANAINA,14797
EVERTON,PEDRO,96135
ISABEL,BIANCA,78013
ERICA,FELIPE,45935
PEDRO,FABIO,97989
FRANCISCA,VITORIA,23451
TEREZA,CRISTINA,58460
DIOGO,DIEGO,15043
BEATRIZ,FRANCISCO,17767
FABIANA,ADRIANO,3141
THIAGO,DOUGLAS,30449
JOAQUIM,LUCIANA,48061
ANTONIO,EDSON,15057
RAFAELA,ANTONIA,54378
ISABEL,ISABELA,52553
ROSA,TANIA,52049
MANOEL,CARLOS,3969
MANUEL,SIMONE,61540
JULIO,MIGUEL,89051
PAULO,MIGUEL,57685
VITORIA,LARISSA,68168
ALESSANDRA,ROSA,1481
CLAUDIA,RAQUEL,29620
LUIZA,MICHELE,49933
FATIMA,LUIS,27063
CRISTIANE,JAQUELINE,4580
EMERSON,MANUEL,60348
LUANA,RAFAELA,57439
ANA,LUAN,62714
WILSON,CAROLINE,20562
LUCAS,ALAN,93122
CRISTIANE,TEREZA,32716
REGINA,CICERO,21982
LARISSA,SOLANGE,39655
MARINA,BENEDITO,65911
LUANA,LUIZ,46001
THAIS,DEBORA,30216
JOSEFA,LUCAS,97038
TAIS,THIAGO,43342
MARIA,MARINA,93308
RODRIGO,MARIO,1953
FABRICIO,JESSICA,79815
SARA,LUAN,4247
MARIANA,JOSE,41633
ADRIANA,FLAVIO,10834
BIANCA,MONICA,31232
MARCIO,CLAUDIO,59479
EDUARDO,DAIANE,48398
FRANCISCO,EVERTON,26120
VINICIUS,MARCIO,20625
IGOR,JULIANA,98369
MARCO,MAURO,82306
CICERO,CRISTIANO,75997
MARLENE,VIVIANE,22226
JEAN,MARCO,19842
NELSON,EMERSON,52348
DEBORA,FERNANDA,67437
FABIANO,RENATO,83352
JOANA,SONIA,90649
DAVID,DIEGO,18918
DAVI,MARIA,58023
DAVID,RAQUEL,94915
REGINALDO,WILSON,61866
DEBORA,MARIA,38180
DAIANE,JOSEFA,54264
DEBORA,SUELI,64639
GILBERTO,VIVIANE,98471
JAIR,GABRIELA,4234
GILSON,ROBSON,18071
GABRIEL,EDUARDO,75548
JOAO,SANDRA,77504
MARCOS,VINICIUS,68590
BRUNO,MANOEL,61658
DAIANE,HENRIQUE,41629
ROSANA,SAMUEL,6347
DAVID,FLAVIA,3441
SEBASTIAO,CAROLINA,61647
TANIA,JOANA,91541
JEAN,ROSANA,43482
WILSON,CAMILA,5369
ROSA,ELIAS,45629
EVERTON,RAFAEL,50260
LETICIA,HELENA,89125
DAVI,LEONARDO,10312
RAQUEL,FLAVIO,49581
RENAN,JOSEFA,83586
ALINE,TEREZINHA,12973
GUILHERME,DEBORA,87551
ROSANA,AMANDA,4694
ANGELA,MARIANA,90605
LUCIA,GERALDO,24283
VERA,ERICA,93794
DOUGLAS,ALINE,69158
SOLANGE,ANTONIO,9271
JEAN,RAFAEL,66557
JANAINA,LEONARDO,53088
JORGE,EDUARDO,3123
SILVANA,VALDIR,8382
MARLI,GILMAR,42759
WESLEY,DIEGO,61667
RAIMUNDA,DANILO,57450
GILSON,ELIANE,80132
GABRIEL,WILSON,82420
ROGERIO,RAIMUNDA,10323
DENISE,FABIO,71775
ROSANGELA,TATIANE,11192
AMANDA,SEVERINO,66643
BIANCA,VITORIA,16495
CELIA,LUANA,57862
DANIELE,ROBSON,776
LUCIANA,BEATRIZ,11700
DAVI,FERNANDO,25101
VITOR,ERICA,22715
GERALDO,LUAN,63803
JOSEFA,SEVERINO,1390
LEANDRO,GUILHERME,86110
WILLIAN,CARLA,72833
CRISTIANO,CAMILA,43641
JOSE,JOAO,95725
CRISTIANE,SERGIO,9313
VITORIA,EDSON,63887
LUCAS,JORGE,71455
ISABELA,ALINE,9402
LUZIA,ALEX,74251
SILVANA,GUILHERME,67492
LARISSA,THIAGO,10737
PEDRO,DAIANE,82734
SILVANA,CELIA,36867
ADRIANA,GILBERTO,24190
ROBSON,SUELI,35344
VIVIANE,MARCO,57360
ALEX,CRISTINA,16167
GILSON,IGOR,32021
JORGE,DAVI,62851
ELIANE,CAROLINA,12163
RICARDO,LUZIA,94531
ANGELA,EVERTON,50058
GERALDO,AMANDA,39383
RENATA,WESLEY,7068
MIGUEL,CELIA,50719
THIAGO,EDUARDO,86285
CRISTIANE,WILSON,24515
TANIA,JULIA,93886
MONICA,CAROLINE,15954
REGINA,DANIELA,66689
MAURICIO,MARLI,27553
PAULA,CAMILA,57630
ANDREA,NATALIA,74846
SEVERINO,RODRIGO,72173
MARCIA,MARIO,44239
CRISTIANO,LUCIANO,40571
RONALDO,LUCIANO,55673
MARTA,FRANCISCA,50634
JULIA,LUCAS,79595
JAQUELINE,MANUEL,44602
GABRIELA,PAULA,78565
LAURA,RENATO,7616
ROBERTO,ELIAS,76781
VERA,JAQUELINE,29532
LEONARDO,JORGE,39209
GUSTAVO,VITORIA,68154
JULIANA,SANDRA,42024
MARTA,MICHELE,59486
JAQUELINE,ISABEL,77230
MAURO,MARINA,20716
ALEX,MARLI,49626
IGOR,CAROLINA,5420
JULIANA,SAMUEL,72665
RENATA,VERA,33396
MARIO,ISABELA,60826
FRANCISCO,ISABELA,29935
GERALDO,RAIMUNDA,93292
HELENA,FABRICIO,90261
WILSON,MATEUS,50536
LETICIA,SAMUEL,8266
JOAO,LUAN,47054
LAURA,ELIANE,37969
DANIELA,LUANA,79588
TEREZINHA,ROSANA,38220
JAQUELINE,MARCIO,56819
RENATA,BENEDITO,68850
RENATO,ANDREA,73752
EVERTON,CAROLINA,31509
VALDIR,JULIA,78889
CARLA,FABIANA,68086
CRISTINA,JULIO,79972
ELIAS,RODRIGO,68139
DANIEL,ADILSON,34482
ANTONIA,VALDIR,44108
MARIO,JORGE,22076
ISABEL,RAIMUNDO,62314
ROSANGELA,GABRIEL,64211
JOAQUIM,GERALDO,51872
PRISCILA,DAVID,2616
FRANCISCO,FABIANA,48066
LUZIA,ANA,73330
CAROLINA,ELIAS,36376
MARINA,ANDRESSA,36936
MAURO,ROBERTO,90879
ANDREA,RICARDO,28652
MARIA,SERGIO,56053
ANGELA,VERA,69499
JORGE,ROSANA,86505
RENATA,ERICA,40478
NATALIA,LUAN,59478
MAURO,MATHEUS,58608
LEONARDO,CAIO,64610
NELSON,DIOGO,97898
WESLEY,MARLI,42019
RAFAELA,ROSANGELA,26663
MARLI,PEDRO,1243
IGOR,APARECIDA,36023
SIMONE,MARLENE,55619
ADRIANA,SARA,49885
JOAO,ANGELA,2050
ANDREA,RONALDO,85541
GILBERTO,GABRIELA,48634
EDNA,ISABEL,1624
PRISCILA,MARIANA,55386
EVERTON,GABRIELA,98754
MARCIO,EDUARDO,74822
JULIA,LUIZ,89422
SEVERINO,PATRICIA,25281
RAFAELA,LUIZA,25287
SEBASTIAO,ANTONIA,31395
EMERSON,ANDRE,30524
LUCIA,EDNA,95598
DOUGLAS,GUILHERME,46593
ALEX,CICERO,89471
FABIANA,GABRIEL,47619
DAVID,VICTOR,87076
EDSON,VITOR,97276
JAQUELINE,VALDIR,87643
VITORIA,MATEUS,56485
MANOEL,BIANCA,47109
IGOR,HENRIQUE,61862
FATIMA,MARLENE,81410
DIEGO,ALESSANDRO,45208
LUCIA,JULIO,21107
DAVI,ROSA,56060
VINICIUS,TEREZA,42777
GUSTAVO,ELIAS,90197
ANDERSON,MARCIO,97053
TEREZINHA,NATALIA,35058
SUELI,LUIZA,76566
GILBERTO,AMANDA,18444
GERALDO,ADRIANO,80559
EDNA,SOLANGE,13976
GUSTAVO,SARA,38312
DANIELA,ANDERSON,47260
PEDRO,SARA,92544
TAIS,ALEXANDRE,52884
LUCIANO,VICTOR,10433
FABIANA,VITORIA,95416
JEFERSON,LEONARDO,95969
ALESSANDRO,MATEUS,73774
LAURA,GUSTAVO,51292
JOANA,SILVIA,94765
LUIZA,TEREZA,92396
GABRIEL,ELAINE,94156
CAMILA,FLAVIA,49043
BRUNO,JONAS,29977
VITORIA,VALERIA,8632
ALAN,ELAINE,2248
MAURO,CARLA,22166
ROBSON,RITA,11573
CRISTINA,TANIA,28829
JULIANA,ANDRE,26282
CAMILA,MANUEL,3865
FLAVIA,REGINALDO,10738
EDUARDO,MARCIA,15881
ROSA,MARIA,93491
SILVANA,RITA,56424
ANTONIA,PAULO,7346
MANOEL,CICERO,5854
JOSE,ANDREA,77027
MARCELO,MARCOS,50682
JULIA,THIAGO,17014
DANIEL,EDUARDO,53120
FERNANDA,JOAO,80032
LUIZA,ANTONIA,29271
DIOGO,ANTONIO,11461
LAURA,ALESSANDRA,12643
JAIR,CAROLINA,98411
MANOEL,RONALDO,62801
JULIA,GABRIELA,28089
ELIANA,JOAO,87984
ELIANE,RICARDO,4952
LUAN,ADILSON,99210
LUCIANA,DEBORA,86619
AMANDA,ADRIANO,46923
FABIANA,GABRIEL,14191
BEATRIZ,FABRICIO,83679
MARTA,ELAINE,1471
MARIA,ELIANA,39412
CICERO,MARCIA,63691
ROSANA,OSVALDO,32593
CLAUDIO,LUCAS,1474
JONAS,FABRICIO,32318
ISABELA,ALICE,73489
JESSICA,CLAUDIO,62550
PATRICIA,ADRIANA,51000
LUANA,MONICA,4650
JESSICA,JANAINA,73934
NELSON,MARCOS,36256
ROSA,MANOEL,7129
ELIAS,CAROLINA,62855
GUSTAVO,RICARDO,43346
FLAVIO,MARIANA,16944
MAURO,SUELI,94313
LUCAS,CRISTIANO,62034
FRANCISCO,SERGIO,22588
RAIMUNDO,ELIANE,91699
JOSEFA,ANTONIO,71943
DIEGO,CRISTIANE,24909
ANTONIA,AMANDA,10639
PEDRO,EDNA,93797
VERA,LUZIA,83620
PAULO,ROGERIO,95829
ALESSANDRA,MARTA,1082
EDNA,MAURO,54230
MATHEUS,JANAINA,17221
RAIMUNDO,DAVID,38908
LEANDRO,DEBORA,47597
FELIPE,SIMONE,66100
JESSICA,BARBARA,87322
JOAQUIM,GABRIELA,22865
MARCIA,REGINALDO,61680
MANOEL,MARCOS,83564
TANIA,RAIMUNDA,27826
VITORIA,SEBASTIAO,2737
SEVERINO,NELSON,63886
LETICIA,ALICE,72297
SAMUEL,LETICIA,93537
CRISTIANE,VALDIR,44892
DIEGO,GILMAR,55898
BENEDITO,ALEXANDRE,62386
MARIA,SERGIO,26468
ANDRE,MATHEUS,55089
RAQUEL,DIEGO,9384
LUZIA,TIAGO,6152
ROSANA,ROSANGELA,28400
PAULO,ROBERTO,98951
DIOGO,VITOR,95861
TANIA,LUCIANA,72203
DANIEL,EMERSON,6041
LETICIA,JOSEFA,50641
FERNANDO,MATEUS,5798
SEBASTIAO,RAFAELA,10375
LEANDRO,PEDRO,56534
RAFAELA,LEANDRO,87796
LUZIA,THIAGO,21540
ELIANE,MARCIO,32802
FABIANO,TAIS,37011
ROSANGELA,BRUNO,10380
DOUGLAS,SILVIA,44973
AMANDA,VICTOR,29877
DANILO,CAIO,39081
DAVI,JAQUELINE,51370
RITA,JOANA,59824
ROBERTO,LUIZ,94286
MARCO,SUELI,37112
APARECIDA,TEREZINHA,55322
BARBARA,ROSANGELA,15458
ELIANE,MICHELE,10532
ADRIANA,PEDRO,53535
PEDRO,ROBSON,73450
ANTONIA,WILLIAN,48831
ROBSON,JAIR,23070
MARIANA,ADILSON,7584
SARA,RAIMUNDO,17914
FABRICIO,ELIAS,24930
EDSON,MANOEL,85093
VITOR,SEBASTIAO,45500
FLAVIA,GILSON,40986
CRISTINA,JAIR,88617
SONIA,ANDREIA,26257
AMANDA,CRISTIANO,77435
ELIANE,CARLOS,55859
ELIAS,THAIS,49755
JONAS,CELIA,64889
ANDREIA,NELSON,30740
BIANCA,DAVID,36412
DANIELA,JULIA,20623
LETICIA,RONALDO,30697
GABRIELA,CELIA,60725
CRISTIANE,MICHELE,22232
DAVID,PAULO,25626
DENISE,LEANDRO,93747
ROGERIO,LUANA,69070
DIEGO,ANGELA,17710
BRUNO,LUCAS,5610
CARLOS,GUSTAVO,58844
JAIR,SEVERINO,17542
GILSON,FABIANO,53900
ALICE,EDNA,77626
LUCIANA,GILBERTO,55272
ROSANGELA,ADILSON,42732
ANDERSON,ANDRESSA,73598
ANA,DAIANE,51251
DEBORA,SANDRA,49804
ROSANA,BRUNA,37617
JOAO,JAQUELINE,33790
FABIO,JEFERSON,91424
MARINA,MAURO,20248
ALICE,LUIS,48585
WILSON,FATIMA,80062
SERGIO,ANDERSON,62676
ELAINE,LUAN,51096
TEREZINHA,MARINA,39455
ALEXANDRE,ANDRE,5070
SOLANGE,MAURICIO,68878
MARIO,TATIANE,9138
AMANDA,BARBARA,30658
APARECIDA,JOANA,85229
JOSE,VITOR,60681
ROSANGELA,LUIZA,593
RONALDO,ALESSANDRA,15324
GILSON,RENATO,62159
WILSON,MARCOS,30902
GILMAR,DEBORA,61741
SUELI,MARIO,50632
SAMUEL,ANTONIO,81447
MANOEL,ALESSANDRO,1418
LARISSA,WESLEY,22345
BRUNO,FELIPE,8572
TANIA,DIEGO,75550
PAULA,OSVALDO,58083
PATRICIA,MICHELE,49134
GILSON,JAQUELINE,66856
TANIA,ANA,91007
SANDRA,FATIMA,58426
PRISCILA,MATHEUS,66568
CLAUDIO,PEDRO,61549
JANAINA,DEBORA,51362
JANAINA,DENISE,17161
THIAGO,SUELI,4516
ELIAS,ADRIANO,55577
SONIA,JONAS,1911
ISABELA,FELIPE,89836
EMERSON,FERNANDA,10800
SEVERINO,JOSEFA,53094
RAFAELA,CRISTINA,80227
RICARDO,JOSEFA,22118
FELIPE,THAIS,20616
MARCOS,IGOR,15990
LETICIA,RODRIGO,25280
FERNANDO,ROBERTO,13507
CRISTINA,VIVIANE,28992
JANAINA,RICARDO,12359
MARCELO,CARLA,21625
DANIEL,VIVIANE,48124
CAROLINA,LUCAS,77006
APARECIDA,VIVIANE,31145
LUZIA,SANDRA,6114
ALINE,MIGUEL,34866
ALESSANDRA,RITA,1767
ROBERTO,LUANA,80138
CARLOS,FRANCISCA,98775
LARISSA,GILBERTO,31914
LEANDRO,LUCAS,85712
CAIO,ROBSON,11698
BENEDITO,FABIANA,65152
PAULO,MARINA,33067
DAVID,ANTONIO,3539
ISABELA,CAMILA,16344
JEAN,MARCIA,32444
FELIPE,TANIA,44460
PRISCILA,DIEGO,83915
JANAINA,MIGUEL,84112
VITORIA,ANDRE,6595
NATALIA,ANDRESSA,22076
VITOR,LUIS,2950
RAIMUNDA,RONALDO,94937
BRUNA,RAFAEL,51358
MARCIO,MARCOS,6908
MARCO,GUILHERME,45738
LUCIANO,LETICIA,66561
MAURICIO,JOAQUIM,81468
MARLENE,LUCIANA,32560
ANDERSON,CLAUDIO,43978
ROBSON,FERNANDA,99873
CELIA,SILVANA,71894
TEREZA,EMERSON,60112
VINICIUS,PEDRO,26178
GUILHERME,VALERIA,19931
GABRIEL,JONAS,85143
CRISTIANO,LETICIA,92517
LUCIANA,CRISTINA,21987
SARA,BRUNO,98904
GABRIELA,EDSON,59455
ALESSANDRO,RAIMUNDO,49036
BEATRIZ,RAFAELA,18361
APARECIDA,LUIZA,92600
CAIO,SANDRA,57776
DEBORA,SAMUEL,5536
ROSANGELA,JESSICA,95320
ALICE,RAFAEL,48762
ALESSANDRO,GILBERTO,46399
DAVID,LUIS,91698
ISABEL,ALINE,89093
MARLENE,CRISTIANE,93018
EVERTON,MATEUS,22431
SILVIA,LUCIANA,24966
SILVANA,ANDREIA,74846
JORGE,DANIEL,51606
JONAS,LUZIA,82460
ANDREA,VERA,36725
BENEDITO,RICARDO,3386
CRISTIANO,MARCIO,959
GUSTAVO,WILSON,26520
ANA,RENATA,14890
ANDREA,JANAINA,92036
GUILHERME,MARCO,17008
PAULA,MARIANA,45118
DOUGLAS,DENISE,7351
CELIA,DANILO,12095
RAQUEL,ROSANGELA,45802
JAIR,ANDREIA,22165
RAFAELA,ALESSANDRO,75590
APARECIDA,DENISE,51743
MAURICIO,MARCELO,51489
RAIMUNDO,VERA,79699
JAQUELINE,ANDERSON,84998
DENISE,IGOR,65474
PAULA,ALINE,63581
DAIANE,SARA,6578
FABRICIO,JANAINA,52495
THAIS,ALEX,40235
ELAINE,JESSICA,51356
RENAN,LUCIANO,91510
LUCAS,JOSEFA,53629
ROSANGELA,GUSTAVO,59611
SIMONE,GILSON,7315
ALEXANDRE,MAURO,81958
MANUEL,ROGERIO,20924
GUSTAVO,JULIO,15634
ANDRESSA,TANIA,66523
SARA,ROBERTO,45804
BRUNO,ANTONIA,17254
ANDREA,JOAQUIM,97533
ANTONIA,MANOEL,44229
JEFERSON,RAFAELA,16439
REGINA,SILVANA,88716
ROBERTO,CELIA,936
FATIMA,DIEGO,41951
MARIANA,MARINA,89639
PATRICIA,DIEGO,85069
CARLA,ADRIANA,27810
ROSA,SERGIO,37139
MARLENE,VITOR,84418
CAIO,TAIS,57152
CAROLINE,PRISCILA,75519
MARIA,SERGIO,8802
ROBSON,BARBARA,40531
MARIANA,GILMAR,32732
EDUARDO,MONICA,59930
MARIO,DAIANE,1839
CARLA,ERICA,11324
WESLEY,ANDREIA,95476
SARA,CICERO,67231
LUCIANO,MONICA,24302
FRANCISCO,MATHEUS,94014
ISABEL,MAURICIO,85063
CARLA,REGINALDO,35546
MARIANA,EDNA,92609
MARCIA,VALDIR,15887
SANDRA,GILBERTO,87663
RENATA,RAFAEL,64971
CAROLINE,PAULA,69077
FLAVIA,JULIANA,90967
IGOR,BRUNO,24633
ISABELA,ELIAS,33772
ANTONIA,WILSON,3044
GUILHERME,EDNA,38682
GABRIEL,LUZIA,99122
DAVI,EVERTON,7846
LEONARDO,LUIZA,92180
DAVID,VERA,84583
EVERTON,MARCIO,47315
DAVID,LARISSA,83574
CELIA,MARCO,18184
LUCAS,LUIZ,6319
HENRIQUE,LARISSA,24768
HELENA,DAVI,90594
PEDRO,JESSICA,88951
RAIMUNDO,CARLA,61010
THAIS,DANIELA,64983
DEBORA,MAURO,19240
CELIA,FABIANO,35031
MARIANA,EDUARDO,6163
ALESSANDRO,LETICIA,39764
ANDRE,DANILO,68709
ROSANGELA,MIGUEL,6555
LUANA,PRISCILA,15040
VANESSA,JULIO,51538
PEDRO,ALICE,15947
JOAO,RAQUEL,50903
EVERTON,ALESSANDRO,84249
VANESSA,MIGUEL,35152
EDUARDO,AMANDA,46041
ELIAS,SEVERINO,24667
NATALIA,RENATA,74174
CRISTINA,ADRIANA,73243
BEATRIZ,ROSA,83879
RAQUEL,ALINE,32877
JOAO,PRISCILA,82065
LEONARDO,ADILSON,22938
MAURICIO,ALESSANDRO,24075
GILSON,EVERTON,83970
HENRIQUE,ROSANA,47084
THIAGO,ANDERSON,94753
LUCIA,ANDREIA,2706
FRANCISCA,MARLI,57913
TIAGO,ROBERTO,76114
ROSA,MANUEL,51465
EDNA,MARIO,61764
SARA,TANIA,86964
JONAS,JANAINA,90147
APARECIDA,BRUNO,72013
JEFERSON,DAVI,47906
NELSON,MATHEUS,98503
VALDIR,JORGE,97227
DIEGO,TANIA,31829
GERALDO,MARIA,76183
CRISTIANO,LETICIA,21627
ANGELA,IGOR,15447
ERICA,ELIANA,23867
TEREZINHA,FERNANDA,43015
MARCELO,ELIANE,6629
MARIA,MARCIO,59784
ERICA,CRISTINA,63085
DEBORA,VANESSA,58451
SARA,JOSE,56352
JOANA,LUIS,42710
JULIA,RODRIGO,31197
JORGE,DOUGLAS,7179
FELIPE,DAVI,10061
CAIO,ELIANA,97071
NATALIA,MAURICIO,44501
ALESSANDRA,ROSA,21222
ADILSON,BEATRIZ,2996
LUIS,MARCIA,48963
NELSON,LEANDRO,48290
FERNANDO,DAVID,43558
GABRIELA,LUIS,96966
ALAN,CAROLINA,675
ANDREIA,GILBERTO,65985
SERGIO,NELSON,17362
MONICA,ADILSON,52833
HENRIQUE,JEFERSON,89782
GUILHERME,BRUNA,92314
EMERSON,GABRIEL,90896
AMANDA,ANDRE,44877
RAIMUNDA,RICARDO,26450
ANGELA,ANDREA,43193
ALESSANDRA,BRUNA,45110
SILVIA,TATIANE,65903
DIEGO,EDNA,22441
CRISTIANO,HENRIQUE,87407
MARCIA,RAQUEL,27332
ANTONIA,SONIA,33271
THIAGO,DANIEL,68520
ROBSON,LUANA,76504
SIMONE,RONALDO,50766
RAQUEL,WILSON,83750
LUZIA,JOAO,93007
JOANA,CRISTINA,99168
MATHEUS,ANDRE,70195
CLAUDIA,MANUEL,38237
LUIZ,RENAN,38754
CLAUDIA,JEAN,62665
LUANA,PEDRO,99479
DAVI,CELIA,99650
ALAN,WILLIAN,79961
RODRIGO,MATHEUS,44732
EDNA,THAIS,68168
MONICA,DIOGO,75825
ALAN,MARLENE,60614
GILBERTO,ISABEL,86781
GILBERTO,DAIANE,37801
CRISTIANO,CLAUDIA,62014
TAIS,MICHELE,65010
ISABELA,RENATO,79561
SILVIA,RAIMUNDO,11550
ALESSANDRA,ROBERTO,78312
CICERO,MARINA,61036
MICHELE,ADRIANO,6920
MANUEL,GILMAR,29768
PATRICIA,DOUGLAS,21048
ROGERIO,ANDRE,33324
JULIO,RENATA,30918
FLAVIO,ANDREIA,16724
GILSON,ALESSANDRO,85666
GERALDO,APARECIDA,90846
PEDRO,ALICE,46731
GABRIELA,HENRIQUE,66036
REGINALDO,THAIS,14788
WILSON,LUZIA,28898
ELAINE,GERALDO,11582
MAURICIO,LETICIA,48631
JOAQUIM,JULIANA,74205
JULIO,SARA,51006
VALERIA,JORGE,21881
FLAVIA,ROGERIO,47211
GERALDO,LUCAS,53901
BEATRIZ,EDUARDO,78862
MARCOS,ROBSON,85742
JEAN,ANDRESSA,4869
SAMUEL,SEVERINO,88045
RENAN,SARA,72694
DANIELE,SOLANGE,24142
MONICA,LUIZ,33563
MARCELO,LUAN,833
CRISTIANO,MIGUEL,20975
ELIANA,EVERTON,84722
SILVANA,TANIA,56800
WILSON,PRISCILA,80322
ISABEL,ADRIANO,16918
MARCO,LETICIA,62565
MATHEUS,JONAS,86760
LAURA,GILMAR,48875
RODRIGO,ANDREIA,46651
GILBERTO,TAIS,93731
CAROLINE,ANDRE,80436
THIAGO,EMERSON,35807
RAFAEL,LEANDRO,2975
SEVERINO,SUELI,9528
LEONARDO,EVERTON,14579
DANIELA,ANGELA,94656
SERGIO,RODRIGO,75054
SOLANGE,MARIO,98810
ANDREA,ELAINE,6057
MONICA,SILVANA,66139
LUANA,FERNANDA,29262
DANIEL,ROGERIO,80527
ALAN,HELENA,32451
VINICIUS,GILMAR,71949
LETICIA,REGINA,89394
VINICIUS,JONAS,2123
LUCIA,VICTOR,41796
GABRIEL,VALERIA,14424
JOSE,JOSEFA,30612
ADRIANO,LUCIANA,92078
SEVERINO,JANAINA,39488
ADRIANA,THIAGO,6673
EDNA,MONICA,96221
THIAGO,ALEX,82125
FERNANDO,SABRINA,62008
EDNA,FLAVIA,13812
DIEGO,JANAINA,56312
SAMUEL,MARIA,94303
ANTONIO,PAULA,96357
CARLA,VALDIR,10083
